pid,name,research
1,白刚,人工智能，机器学习，模式识别，计算机视觉
2,程仁洪,"数据库技术及应用,软件性能,智能控制与检测系统"
3,程明明,人工智能、计算机视觉、图像视频大数据分析、计算机图形学
4,贾春福,网络与信息安全；可信计算与软件安全；恶意代码分析; 密码应用技术
5,刘健,大数据、人工智能、生物信息学、类脑计算、智能医学与合成生物学
6,刘哲理,数据安全；人工智能安全
7,刘晓光,云存储 搜索引擎 区块链系统 云计算/大数据平台 计算经济学
8,李庆诚,嵌入式操作系统与信息安全
9,李涛,"异构计算, 机器学习, 智能物联网"
10,邵秀丽,人工智能、数据分析、智能系统、CSCW协同控制
11,卫金茂,机器学习，数据挖掘，生物信息学
12,汪定,公钥密码学，系统安全，人工智能安全
13,王刚,海量信息存储、并行与分布式计算
14,徐敬东,移动边缘计算、软件定义网络（SDN）、网络大数据分析、网络安全等
15,辛运帏,信息自动化 智能软件系统 数字医疗系统
16,杨巨峰,计算机视觉、机器学习、多媒体计算
17,杨征路,人工智能，数据挖掘，信息检索
18,杨愚鲁,并行与分布式处理，系统结构，可重构系统，网格计算
19,袁晓洁,数据库、知识工程、大数据技术、机器学习、Web检索与挖掘
20,张健,云安全，系统安全、恶意代码防治、人工智能安全、电子数据取证、网络犯罪打击防范
21,张建忠,网络大数据分析，网络安全，移动计算，软件定义网络，边缘智能
22,蔡庆琼,图算法设计与分析、图论与组合优化、图神经网络
23,陈晨,"自然语言处理, 信息检索, 机器学习, 社会计算"
24,范玲玲,软件安全，软件分析与测试，大数据分析
25,宫晓利,嵌入式系统，移动云计算，物联网
26,黄家友,none
27,黄申为,网络科学、算法设计与分析、图论与组合优化
28,卢少平,2D/3D图像视频处理、人工智能与机器学习、媒体信息安全
29,李岳,图像处理、计算机视觉、计算机安全、软件工程
30,李忠伟,数据库与知识库、机器学习
31,李朝晖,信息安全、生物信息、图形图像处理
32,李雨森,分布式系统，云计算
33,宁博,网络科学、算法设计与分析、图论与组合优化
34,蒲凌君,Emerging and Advanced Network Framework for Edge+IoT+AI
35,任博,计算机图形学，计算机视觉，人工智能
36,任明明,GPU计算及应用
37,宋春瑶,数据库系统及管理，不确定数据，数据流，科学数据库，图数据，大数据。
38,宋起泉,none
39,沈玮,数据挖掘，人工智能，大数据分析，知识图谱
40,苏明,"数字版权管理，序列设计，数字水印，信息论与编码, 区块链基础及应用"
41,吴英,物联网、车联网安全及网络管理
42,王娟,none
43,王志,计算机病毒的分析与防治
44,王恺,人工智能，机器学习，计算机视觉
45,王玮,图像处理与检索；智能信息处理、算法分析与设计；数据分析处理；
46,徐颖,none
47,殷爱茹,none
48,周环,none
49,张志刚,行政管理
50,张玉,计算机网络与信息安全
51,张莹,自然语言处理、大数据技术、信息检索、数据挖掘、机器学习
52,张金,人工智能;认知科学与脑计算;物联网与云计算;
53,赵宏,智能计算及应用、环境大数据挖掘及应用系统开发、物联网应用研究
54,蔡祥睿,NLP，机器学习，深度学习
55,董晓东,计算机网络、未来网络体系结构、软件定义网络、云计算
56,古力,主要从事混沌密码学和混沌Hash函数方面的研究
57,过辰楷,智能软件工程、移动程序分析、医疗大数据
58,高裴裴,情感计算，语音合成
59,康宏,数据库技术，中间件技术，J2EE
60,李兴娟,"网络安全, 无线和移动网络，应用系统开发"
61,李敏,信息安全；密码学应用
62,王刚,none
63,徐君,人工智能，计算机视觉，机器学习，图像处理，模式识别
64,于刚,计算机网络 P2P系统及应用
65,张海威,数据库、数据挖掘、XML数据管理
66,董前琨,异构计算 物联网 计算机系统结构
67,郭天勇,嵌入式技术，电路虚拟仿真
68,郭蕴,none
69,康介恢,软件理论与测试
70,刘嘉欣,none
71,刘爽,none
72,卢冶,计算机体系结构；嵌入式系统；AIoT&Blockchain; 教育信息化
73,李妍,none
74,林浩,none
75,路明晓,none
76,乜鹏,数据库技术，大数据技术，软件工程
77,温延龙,数据库系统实现、信息检索、知识图谱、信息系统集成
78,王冬梅,none
79,王子纯,none
80,闫晓玉,none
81,张彪,none
