pid,name,pt,department,research
1,白刚,教授,物联网工程系,人工智能，机器学习，模式识别，计算机视觉
2,程仁洪,教授,计算机科学与技术系,"数据库技术及应用,软件性能,智能控制与检测系统"
3,程明明,教授,计算机科学与技术系,人工智能、计算机视觉、图像视频大数据分析、计算机图形学
4,贾春福,教授,信息安全系,网络与信息安全；可信计算与软件安全；恶意代码分析; 密码应用技术
5,刘健,教授,计算机科学与技术系,大数据、人工智能、生物信息学、类脑计算、智能医学与合成生物学
6,刘哲理,教授,信息安全系,数据安全；人工智能安全
7,刘晓光,教授,计算机科学与技术系,云存储 搜索引擎 区块链系统 云计算/大数据平台 计算经济学
8,李庆诚,教授,计算机科学与技术系,嵌入式操作系统与信息安全
9,李涛,教授,物联网工程系,"异构计算, 机器学习, 智能物联网"
10,邵秀丽,教授,计算机科学与技术系,人工智能、数据分析、智能系统、CSCW协同控制
11,卫金茂,教授,计算机科学与技术系,机器学习，数据挖掘，生物信息学
12,汪定,教授,信息安全系,公钥密码学，系统安全，人工智能安全
13,王刚,教授,计算机科学与技术系,海量信息存储、并行与分布式计算
14,徐敬东,教授,计算机科学与技术系,移动边缘计算、软件定义网络（SDN）、网络大数据分析、网络安全等
15,辛运帏,教授,计算机科学与技术系,信息自动化 智能软件系统 数字医疗系统
16,杨巨峰,教授,计算机科学与技术系,计算机视觉、机器学习、多媒体计算
17,杨征路,教授,计算机科学与技术系,人工智能，数据挖掘，信息检索
18,杨愚鲁,教授,计算机科学与技术系,并行与分布式处理，系统结构，可重构系统，网格计算
19,袁晓洁,教授,信息安全系,数据库、知识工程、大数据技术、机器学习、Web检索与挖掘
20,张健,教授,信息安全系,云安全，系统安全、恶意代码防治、人工智能安全、电子数据取证、网络犯罪打击防范
21,张建忠,教授,物联网工程系,网络大数据分析，网络安全，移动计算，软件定义网络，边缘智能
22,蔡庆琼,副教授,公共计算机基础教学部,图算法设计与分析、图论与组合优化、图神经网络
23,陈晨,副教授,计算机科学与技术系,"自然语言处理, 信息检索, 机器学习, 社会计算"
24,范玲玲,副教授,信息安全系,软件安全，软件分析与测试，大数据分析
25,宫晓利,副教授,物联网工程系,嵌入式系统，移动云计算，物联网
26,黄家友,副研究员,学院行政管理,
27,黄申为,副教授,计算机科学与技术系,网络科学、算法设计与分析、图论与组合优化
28,卢少平,副教授,物联网工程系,2D/3D图像视频处理、人工智能与机器学习、媒体信息安全
